Wavelength (um), R
2.510900000000023002e+00,1.177801824987804139e+03
2.511000000000023213e+00,1.177845345743657617e+03
2.511100000000023424e+00,1.177888864631515389e+03
2.511200000000023635e+00,1.177932381651327887e+03
2.511300000000023847e+00,1.177975896803046453e+03
2.511400000000024058e+00,1.178019410086621065e+03
2.511500000000024269e+00,1.178062921502002155e+03
2.511600000000024480e+00,1.178106431049140610e+03
2.511700000000024691e+00,1.178149938727986864e+03
2.511800000000024902e+00,1.178193444538490894e+03
2.511900000000025113e+00,1.178236948480604042e+03
2.512000000000025324e+00,1.178280450554276740e+03
2.512100000000025535e+00,1.178323950759458967e+03
2.512200000000025746e+00,1.178367449096101609e+03
2.512300000000025957e+00,1.178410945564155554e+03
2.512400000000026168e+00,1.178454440163570780e+03
2.512500000000026379e+00,1.178497932894298629e+03
2.512600000000026590e+00,1.178541423756289078e+03
2.512700000000026801e+00,1.178584912749493014e+03
2.512800000000027012e+00,1.178628399873860872e+03
2.512900000000027223e+00,1.178671885129343536e+03
2.513000000000027434e+00,1.178715368515891214e+03
2.513100000000027645e+00,1.178758850033455019e+03
2.513200000000027856e+00,1.178802329681985611e+03
2.513300000000028067e+00,1.178845807461433196e+03
2.513400000000028278e+00,1.178889283371748661e+03
2.513500000000028489e+00,1.178932757412882893e+03
2.513600000000028700e+00,1.178976229584786097e+03
2.513700000000028911e+00,1.179019699887409615e+03
2.513800000000029122e+00,1.179063168320703653e+03
2.513900000000029333e+00,1.179106634884618870e+03
2.514000000000029544e+00,1.179150099579106381e+03
2.514100000000029755e+00,1.179193562404116619e+03
2.514200000000029966e+00,1.179237023359600244e+03
2.514300000000030177e+00,1.179280482445508369e+03
2.514400000000030388e+00,1.179323939661791428e+03
2.514500000000030600e+00,1.179367395008400308e+03
2.514600000000030811e+00,1.179410848485285669e+03
2.514700000000031022e+00,1.179454300092398171e+03
2.514800000000031233e+00,1.179497749829688701e+03
2.514900000000031444e+00,1.179541197697108146e+03
2.515000000000031655e+00,1.179584643694607621e+03
2.515100000000031866e+00,1.179628087822136877e+03
2.515200000000032077e+00,1.179671530079647937e+03
2.515300000000032288e+00,1.179714970467091007e+03
2.515400000000032499e+00,1.179758408984416747e+03
2.515500000000032710e+00,1.179801845631576271e+03
2.515600000000032921e+00,1.179845280408520466e+03
2.515700000000033132e+00,1.179888713315199766e+03
2.515800000000033343e+00,1.179932144351565967e+03
2.515900000000033554e+00,1.179975573517569046e+03
2.516000000000033765e+00,1.180019000813160346e+03
2.516100000000033976e+00,1.180062426238290300e+03
2.516200000000034187e+00,1.180105849792910249e+03
2.516300000000034398e+00,1.180149271476970625e+03
2.516400000000034609e+00,1.180192691290422772e+03
2.516500000000034820e+00,1.180236109233217348e+03
2.516600000000035031e+00,1.180279525305305469e+03
2.516700000000035242e+00,1.180322939506637795e+03
2.516800000000035453e+00,1.180366351837165666e+03
2.516900000000035664e+00,1.180409762296839745e+03
2.517000000000035875e+00,1.180453170885610916e+03
2.517100000000036086e+00,1.180496577603430296e+03
2.517200000000036297e+00,1.180539982450248999e+03
2.517300000000036508e+00,1.180583385426017685e+03
2.517400000000036719e+00,1.180626786530687241e+03
2.517500000000036930e+00,1.180670185764209691e+03
2.517600000000037141e+00,1.180713583126534104e+03
2.517700000000037353e+00,1.180756978617613640e+03
2.517800000000037564e+00,1.180800372237398051e+03
2.517900000000037775e+00,1.180843763985838223e+03
2.518000000000037986e+00,1.180887153862886180e+03
2.518100000000038197e+00,1.180930541868492128e+03
2.518200000000038408e+00,1.180973928002607181e+03
2.518300000000038619e+00,1.181017312265182909e+03
2.518400000000038830e+00,1.181060694656169744e+03
2.518500000000039041e+00,1.181104075175519029e+03
2.518600000000039252e+00,1.181147453823182559e+03
2.518700000000039463e+00,1.181190830599110541e+03
2.518800000000039674e+00,1.181234205503253634e+03
2.518900000000039885e+00,1.181277578535564317e+03
2.519000000000040096e+00,1.181320949695993022e+03
2.519100000000040307e+00,1.181364318984490183e+03
2.519200000000040518e+00,1.181407686401008050e+03
2.519300000000040729e+00,1.181451051945497511e+03
2.519400000000040940e+00,1.181494415617908999e+03
2.519500000000041151e+00,1.181537777418194537e+03
2.519600000000041362e+00,1.181581137346304786e+03
2.519700000000041573e+00,1.181624495402191314e+03
2.519800000000041784e+00,1.181667851585804783e+03
2.519900000000041995e+00,1.181711205897096534e+03
2.520000000000042206e+00,1.181754558336018135e+03
2.520100000000042417e+00,1.181797908902520703e+03
2.520200000000042628e+00,1.181841257596555124e+03
2.520300000000042839e+00,1.181884604418072740e+03
2.520400000000043050e+00,1.181927949367024667e+03
2.520500000000043261e+00,1.181971292443362472e+03
2.520600000000043472e+00,1.182014633647037044e+03
2.520700000000043683e+00,1.182057972977999952e+03
2.520800000000043894e+00,1.182101310436202311e+03
2.520900000000044106e+00,1.182144646021595463e+03
2.521000000000044317e+00,1.182187979734130749e+03
2.521100000000044528e+00,1.182231311573758830e+03
2.521200000000044739e+00,1.182274641540431730e+03
2.521300000000044950e+00,1.182317969634100564e+03
2.521400000000045161e+00,1.182361295854716900e+03
2.521500000000045372e+00,1.182404620202230944e+03
2.521600000000045583e+00,1.182447942676595630e+03
2.521700000000045794e+00,1.182491263277760936e+03
2.521800000000046005e+00,1.182534582005678658e+03
2.521900000000046216e+00,1.182577898860300820e+03
2.522000000000046427e+00,1.182621213841577628e+03
2.522100000000046638e+00,1.182664526949461106e+03
2.522200000000046849e+00,1.182707838183902822e+03
2.522300000000047060e+00,1.182751147544853666e+03
2.522400000000047271e+00,1.182794455032265205e+03
2.522500000000047482e+00,1.182837760646089009e+03
2.522600000000047693e+00,1.182881064386276194e+03
2.522700000000047904e+00,1.182924366252778327e+03
2.522800000000048115e+00,1.182967666245546752e+03
2.522900000000048326e+00,1.183010964364532811e+03
2.523000000000048537e+00,1.183054260609688527e+03
2.523100000000048748e+00,1.183097554980964333e+03
2.523200000000048959e+00,1.183140847478312935e+03
2.523300000000049170e+00,1.183184138101684766e+03
2.523400000000049381e+00,1.183227426851031396e+03
2.523500000000049592e+00,1.183270713726304621e+03
2.523600000000049803e+00,1.183313998727456237e+03
2.523700000000050014e+00,1.183357281854436906e+03
2.523800000000050225e+00,1.183400563107198877e+03
2.523900000000050436e+00,1.183443842485693267e+03
2.524000000000050647e+00,1.183487119989871417e+03
2.524100000000050859e+00,1.183530395619685578e+03
2.524200000000051070e+00,1.183573669375086638e+03
2.524300000000051281e+00,1.183616941256026166e+03
2.524400000000051492e+00,1.183660211262455960e+03
2.524500000000051703e+00,1.183703479394327587e+03
2.524600000000051914e+00,1.183746745651592391e+03
2.524700000000052125e+00,1.183790010034202169e+03
