"ra","dec","file","root","grade","zfit","z","comment","References","nRef","grating","filter","sn50","wmin","wmax","Lya","Ha","OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"215.236363","53.069486","ceers-lr-v1_prism-clear_1345_11583.spec.fits","ceers-lr-v1","1","0.7267","0.7267","","-","0","PRISM","CLEAR","4.18","0.6","5.29","","-0.2","0.6","","","","FITS   zfit   spl","",""
"215.227104","53.064657","ceers-lr-v1_prism-clear_1345_11615.spec.fits","ceers-lr-v1","3","3.2538","3.2538","","-","0","PRISM","CLEAR","5.38","0.6","5.29","","39.4","48.7","","","","FITS   zfit   spl","",""
"215.07249","52.956138","ceers-lr-v1_prism-clear_1345_11624.spec.fits","ceers-lr-v1","3","3.7851","3.7851","","KNa23  z=3.796","1","PRISM","CLEAR","2.97","0.6","5.29","","28.2","41.5","","","","FITS   zfit   spl","",""
"215.160203","53.018237","ceers-lr-v1_prism-clear_1345_11631.spec.fits","ceers-lr-v1","1","0.2122","0.2122","","-","0","PRISM","CLEAR","2.1","0.6","5.29","","0.1","4.6","","","","FITS   zfit   spl","",""
"214.990468","52.97199","ceers-lr-v1_prism-clear_1345_1163.spec.fits","ceers-lr-v1","3","7.4546","7.4546",";","KNa23  z=7.451 ;  KEHe22  z=7.453 ;  MTa23  z=7.448","3","PRISM","CLEAR","2.77","0.6","5.29","-3.5","","21.6","","","","FITS   zfit   spl","",""
"214.897723","52.836115","ceers-lr-v1_prism-clear_1345_11699.spec.fits","ceers-lr-v1","3","3.3008","3.3008","","-","0","PRISM","CLEAR","10.1","0.6","5.29","","34.7","31.7","","","","FITS   zfit   spl","",""
"215.08487","52.970738","ceers-lr-v1_prism-clear_1345_11728.spec.fits","ceers-lr-v1","3","3.8793","3.8793","","KNa23  z=3.887 ;  RSa23  z=3.869","2","PRISM","CLEAR","5.13","0.6","5.29","","40.5","47.7","","","","FITS   zfit   spl","",""
"214.782421","52.756921","ceers-lr-v1_prism-clear_1345_11739.spec.fits","ceers-lr-v1","2","0.194","0.194","","-","0","PRISM","CLEAR","2.98","0.6","5.29","","-1","","","","","FITS   zfit   spl","",""
"215.154208","52.955847","ceers-lr-v1_prism-clear_1345_1173.spec.fits","ceers-lr-v1","3","4.9991","4.9991","","YIs23  z=4.996 ;  KNa23  z=4.997","2","PRISM","CLEAR","6.58","0.6","5.29","-0.2","26.4","28.1","","","","FITS   zfit   spl","",""
"215.062638","52.956347","ceers-lr-v1_prism-clear_1345_11753.spec.fits","ceers-lr-v1","3","3.2521","3.2521","","-","0","PRISM","CLEAR","3.62","0.6","5.29","","14.8","16.3","","","","FITS   zfit   spl","",""
"215.136224","53.009836","ceers-lr-v1_prism-clear_1345_11798.spec.fits","ceers-lr-v1","3","3.5254","3.5254","","-","0","PRISM","CLEAR","7.46","0.6","5.29","","22.3","30","","","","FITS   zfit   spl","",""
"215.157956","53.025338","ceers-lr-v1_prism-clear_1345_11805.spec.fits","ceers-lr-v1","3","3.1942","3.1942","","-","0","PRISM","CLEAR","4.72","0.6","5.29","","10.8","9","","","","FITS   zfit   spl","",""
"215.080335","52.974738","ceers-lr-v1_prism-clear_1345_11880.spec.fits","ceers-lr-v1","1","0.8403","0.8403","","-","0","PRISM","CLEAR","1.23","0.6","5.29","","-0.9","0.7","","","","FITS   zfit   spl","",""
"215.161946","53.033748","ceers-lr-v1_prism-clear_1345_11903.spec.fits","ceers-lr-v1","3","3.1194","3.1194","","-","0","PRISM","CLEAR","6.39","0.6","5.29","","14","9.5","","","","FITS   zfit   spl","",""
"215.063298","52.964966","ceers-lr-v1_prism-clear_1345_11912.spec.fits","ceers-lr-v1","1","0.2625","0.2625","","-","0","PRISM","CLEAR","1.81","0.6","5.29","","2.6","1.2","","","","FITS   zfit   spl","",""
"215.05633","52.961096","ceers-lr-v1_prism-clear_1345_11937.spec.fits","ceers-lr-v1","3","3.2077","3.2077","","-","0","PRISM","CLEAR","4.06","0.6","5.29","","28.3","37.2","","","","FITS   zfit   spl","",""
"215.065975","52.971201","ceers-lr-v1_prism-clear_1345_11994.spec.fits","ceers-lr-v1","0","2.9036","2.9036","","-","0","PRISM","CLEAR","22.61","0.6","5.28","","-3.7","-10.4","","","","FITS   zfit   spl","",""
"214.894136","52.851616","ceers-lr-v1_prism-clear_1345_12024.spec.fits","ceers-lr-v1","3","3.4925","3.4925","","-","0","PRISM","CLEAR","11.56","0.6","5.29","","38.2","31.1","","","","FITS   zfit   spl","",""
"215.051733","52.963538","ceers-lr-v1_prism-clear_1345_12025.spec.fits","ceers-lr-v1","3","3.6744","3.6744","","-","0","PRISM","CLEAR","2.26","0.6","5.29","","15.7","21","","","","FITS   zfit   spl","",""
"214.879892","52.842645","ceers-lr-v1_prism-clear_1345_12045.spec.fits","ceers-lr-v1","3","1.6645","1.6645","","-","0","PRISM","CLEAR","1.15","0.6","5.29","","1.7","3.7","","","","FITS   zfit   spl","",""
"214.804305","52.720954","ceers-lr-v1_prism-clear_1345_1211.spec.fits","ceers-lr-v1","3","2.7151","2.7151","","-","0","PRISM","CLEAR","1.58","0.6","5.29","","9.2","10.1","","","","FITS   zfit   spl","",""
"215.064747","52.980264","ceers-lr-v1_prism-clear_1345_12152.spec.fits","ceers-lr-v1","3","3.4509","3.4509","","-","0","PRISM","CLEAR","5.18","0.6","5.29","","4.3","5.8","","","","FITS   zfit   spl","",""
"215.242237","53.032442","ceers-lr-v1_prism-clear_1345_1217.spec.fits","ceers-lr-v1","3","4.6418","4.6418","","KNa23  z=4.637","1","PRISM","CLEAR","10.29","0.6","5.29","-8.3","58","58.8","","","","FITS   zfit   spl","",""
"214.772434","52.776","ceers-lr-v1_prism-clear_1345_12213.spec.fits","ceers-lr-v1","3","3.6335","3.6335","","-","0","PRISM","CLEAR","8.59","0.6","5.29","","14.3","12.3","","","","FITS   zfit   spl","",""
"214.758001","52.766495","ceers-lr-v1_prism-clear_1345_12221.spec.fits","ceers-lr-v1","3","4.1557","4.1557","","KNa23  z=4.158","1","PRISM","CLEAR","2.95","0.6","5.29","5.1","19.9","20.8","","","","FITS   zfit   spl","",""
"215.050745","52.979736","ceers-lr-v1_prism-clear_1345_12323.spec.fits","ceers-lr-v1","3","2.8268","2.8268","","-","0","PRISM","CLEAR","1.94","0.6","5.29","","10","13.4","","","","FITS   zfit   spl","",""
"214.886463","52.865832","ceers-lr-v1_prism-clear_1345_12361.spec.fits","ceers-lr-v1","3","3.2777","3.2777","","-","0","PRISM","CLEAR","10.53","0.6","5.29","","35.8","42.6","","","","FITS   zfit   spl","",""
"215.145298","52.967279","ceers-lr-v1_prism-clear_1345_1236.spec.fits","ceers-lr-v1","3","4.4899","4.4899","","KNa23  z=4.480","1","PRISM","CLEAR","4.79","0.6","5.29","-1.9","12.7","11.4","","","","FITS   zfit   spl","",""
"215.168096","53.066146","ceers-lr-v1_prism-clear_1345_12389.spec.fits","ceers-lr-v1","3","2.9881","2.9881","","-","0","PRISM","CLEAR","3.33","0.6","5.29","","33.7","40.1","","","","FITS   zfit   spl","",""
"214.715294","52.746247","ceers-lr-v1_prism-clear_1345_12405.spec.fits","ceers-lr-v1","3","0.8756","4.3641","","-","0","PRISM","CLEAR","4.23","0.6","5.29","","1.8","0.3","","","","FITS   zfit   spl","",""
"215.014617","52.960288","ceers-lr-v1_prism-clear_1345_12422.spec.fits","ceers-lr-v1","3","3.3628","3.3628","","-","0","PRISM","CLEAR","0.82","0.6","5.29","","9.9","10.1","","","","FITS   zfit   spl","",""
"215.240652","53.036041","ceers-lr-v1_prism-clear_1345_1244.spec.fits","ceers-lr-v1","3","4.4844","4.4844","broad Halpha;","KNa23  z=4.482","1","PRISM","CLEAR","11.9","0.6","5.29","8.5","62.9","46.5","","","","FITS   zfit   spl","",""
"214.880343","52.866794","ceers-lr-v1_prism-clear_1345_12459.spec.fits","ceers-lr-v1","3","3.3354","3.3354","","-","0","PRISM","CLEAR","9.86","0.6","5.29","","23.3","26","","","","FITS   zfit   spl","",""
"215.059462","52.995505","ceers-lr-v1_prism-clear_1345_12496.spec.fits","ceers-lr-v1","3","4.1997","4.1997","","KNa23  z=4.192","1","PRISM","CLEAR","2.96","0.6","5.29","-2.3","11.3","11.4","","","","FITS   zfit   spl","",""
"214.834631","52.83782","ceers-lr-v1_prism-clear_1345_12526.spec.fits","ceers-lr-v1","3","3.4465","3.4465","","-","0","PRISM","CLEAR","7.8","0.6","5.29","","14","15.9","","","","FITS   zfit   spl","",""
"214.895153","52.888175","ceers-lr-v1_prism-clear_1345_12677.spec.fits","ceers-lr-v1","3","3.45","3.45","","-","0","PRISM","CLEAR","4.77","0.6","5.29","","14.3","16.2","","","","FITS   zfit   spl","",""
"215.222038","53.027369","ceers-lr-v1_prism-clear_1345_1267.spec.fits","ceers-lr-v1","3","5.1571","5.1571","","KNa23  z=5.152","1","PRISM","CLEAR","5.32","0.6","5.29","-3.1","12.7","14.4","","","","FITS   zfit   spl","",""
"214.881893","52.882547","ceers-lr-v1_prism-clear_1345_12761.spec.fits","ceers-lr-v1","3","3.0089","3.0089","","-","0","PRISM","CLEAR","4.28","0.6","5.29","","8.4","8.3","","","","FITS   zfit   spl","",""
"214.989575","52.959177","ceers-lr-v1_prism-clear_1345_12771.spec.fits","ceers-lr-v1","3","2.6518","2.6518","","-","0","PRISM","CLEAR","11.15","0.6","5.29","","21.2","19.2","","","","FITS   zfit   spl","",""
"214.809029","52.838415","ceers-lr-v1_prism-clear_1345_12897.spec.fits","ceers-lr-v1","1","4.2201","4.2201","","-","0","PRISM","CLEAR","0.13","0.6","5.29","-1","5.7","0.9","","","","FITS   zfit   spl","",""
"214.878057","52.888067","ceers-lr-v1_prism-clear_1345_12913.spec.fits","ceers-lr-v1","3","3.4487","3.4487","","-","0","PRISM","CLEAR","10.44","0.6","5.29","","26.1","25.6","","","","FITS   zfit   spl","",""
"215.051502","53.014784","ceers-lr-v1_prism-clear_1345_12995.spec.fits","ceers-lr-v1","3","3.2144","3.2144","","-","0","PRISM","CLEAR","6.88","0.6","5.29","","23.8","32.2","","","","FITS   zfit   spl","",""
"215.048871","53.014865","ceers-lr-v1_prism-clear_1345_13036.spec.fits","ceers-lr-v1","3","3.471","3.471","","-","0","PRISM","CLEAR","1.97","0.6","5.29","","21.3","25","","","","FITS   zfit   spl","",""
